id,longitude,latitude,date,time
117,145.46278,-16.480524,2021-12-21,18:00
118,145.46278,-16.480524,2021-12-21,18:00
119,153.0261,-27.44926,2021-12-20,12:30
120,153.0261,-27.44926,2021-12-20,12:30
121,153.0261,-27.44926,2021-12-20,12:30
122,153.06471,-27.399143,2021-12-20,08:15
123,153.09488,-27.366432,2021-12-20,08:00
124,153.02367,-27.389643,2021-12-20,22:00
125,152.99156,-27.485071,2021-12-20,09:22
126,153.00146,-27.485558,2021-12-20,09:10
127,150.31143,-28.528782,2021-12-20,18:52
128,153.09149,-25.902702,2021-12-20,15:00
129,152.34966,-24.871986,2021-12-20,14:40
130,152.34966,-24.871986,2021-12-20,14:40
131,152.34947,-24.871605,2021-12-20,09:30
132,152.34947,-24.871605,2021-12-20,09:30
133,151.25601,-23.84393,2021-12-20,18:30
134,151.2523,-23.83813,2021-12-20,17:25
135,151.25325,-23.832342,2021-12-20,16:30
136,146.81499,-19.250294,2021-12-20,11:30
137,146.82645,-19.250738,2021-12-20,14:00
138,146.82645,-19.250738,2021-12-20,14:00
139,146.81152,-19.26708,2021-12-20,19:00
140,146.81558,-19.260384,2021-12-20,11:00
141,146.85587,-19.157482,2021-12-20,13:20
142,146.8482,-19.160816,2021-12-20,15:15
143,146.86137,-19.11737,2021-12-20,11:30
144,146.86166,-19.117363,2021-12-20,18:30
145,145.73824,-16.943176,2021-12-20,17:45
146,145.75974,-16.908073,2021-12-20,09:30
147,145.46547,-16.501669,2021-12-20,00:00
148,145.46211,-16.48156,2021-12-20,17:25
149,145.46901,-17.267754,2021-12-20,13:45
150,153.02654,-27.46941,2021-12-19,17:35
151,153.02994,-27.46618,2021-12-19,11:35
152,153.03104,-27.46262,2021-12-19,00:14
153,153.04306,-27.419722,2021-12-19,10:24
154,153.02367,-27.389643,2021-12-19,17:30
155,152.97911,-27.4092,2021-12-19,10:55
156,152.97949,-27.40922,2021-12-19,10:35
157,152.98051,-27.409163,2021-12-19,11:32
158,152.9784,-27.40878,2021-12-19,10:10
159,152.99344,-27.444511,2021-12-19,08:10
160,152.93767,-27.549467,2021-12-19,10:00
161,153.01595,-27.474958,2021-12-19,12:54
162,153.03903,-27.48477,2021-12-19,11:20
163,153.03143,-27.514166,2021-12-19,07:15
164,153.02394,-27.577314,2021-12-19,11:10
165,153.06519,-27.559843,2021-12-19,12:30
166,153.14027,-27.669277,2021-12-19,07:25
167,153.05193,-27.499039,2021-12-19,10:15
168,153.43408,-28.040169,2021-12-19,09:30
169,153.14307,-27.075514,2021-12-19,11:00
170,152.36374,-26.587864,2021-12-19,00:00
171,151.24289,-23.869585,2021-12-19,09:15
172,149.17816,-21.138624,2021-12-19,08:15
173,149.17749,-21.139843,2021-12-19,09:20
174,149.1786,-21.138144,2021-12-19,09:30
175,149.17897,-21.13723,2021-12-19,09:40
176,149.1614,-21.128664,2021-12-19,10:40
177,149.17918,-21.137821,2021-12-19,09:00
178,146.81499,-19.250294,2021-12-19,11:30
179,146.82645,-19.250738,2021-12-19,16:00
180,146.82645,-19.250738,2021-12-19,16:00
181,146.82034,-19.257307,2021-12-19,00:00
182,145.77582,-16.921663,2021-12-19,22:00
183,145.76013,-16.907965,2021-12-19,18:45
184,145.78098,-16.918522,2021-12-19,16:00
185,145.77429,-16.923641,2021-12-19,18:54
186,145.7596,-16.907066,2021-12-19,13:10
187,145.46547,-16.501669,2021-12-19,00:00
188,153.03064,-27.47753,2021-12-18,14:49
189,153.02516,-27.469305,2021-12-18,12:45
190,153.03033,-27.469057,2021-12-18,12:00
191,153.02562,-27.470531,2021-12-18,13:00
192,153.03038,-27.466717,2021-12-18,22:00
193,153.028,-27.47268,2021-12-18,12:59
194,153.03616,-27.462435,2021-12-18,13:00
195,153.03734,-27.462673,2021-12-18,15:00
196,153.02608,-27.468304,2021-12-18,15:25
197,153.03838,-27.463633,2021-12-18,11:48
198,153.03047,-27.465303,2021-12-18,16:00
199,153.0488,-27.454222,2021-12-18,09:00
200,153.03986,-27.455223,2021-12-18,00:00
201,153.03477,-27.457943,2021-12-18,22:30
202,153.03477,-27.457943,2021-12-18,22:30
203,153.033,-27.457079,2021-12-18,21:50
204,153.033,-27.457079,2021-12-18,21:50
205,153.03944,-27.45362,2021-12-18,11:00
206,153.03944,-27.45362,2021-12-18,11:00
207,153.02658,-27.427113,2021-12-18,11:40
208,153.03287,-27.429401,2021-12-18,08:15
209,153.05829,-27.340313,2021-12-18,15:40
210,153.0082,-27.43721,2021-12-18,11:30
211,153.00755,-27.437618,2021-12-18,10:40
212,152.94939,-27.415333,2021-12-18,15:04
213,153.00821,-27.502918,2021-12-18,00:00
214,152.93825,-27.54988,2021-12-18,10:55
215,153.01186,-27.481504,2021-12-18,08:20
216,153.01646,-27.47543,2021-12-18,19:46
217,153.01231,-27.481268,2021-12-18,09:00
218,153.03653,-27.487274,2021-12-18,18:43
219,153.03658,-27.56824,2021-12-18,08:30
220,153.02693,-27.589272,2021-12-18,13:00
221,153.03357,-27.617855,2021-12-18,09:40
222,153.03995,-27.663662,2021-12-18,09:50
223,153.08223,-27.562614,2021-12-18,11:00
224,153.08223,-27.562614,2021-12-18,11:00
225,153.08109,-27.562565,2021-12-18,11:05
226,152.9834,-27.737131,2021-12-18,11:05
227,153.09944,-27.471172,2021-12-18,07:30
228,153.05397,-27.45089,2021-12-18,17:35
229,153.44078,-27.40356,2021-12-18,16:30
230,153.44078,-27.40356,2021-12-18,16:30
231,152.36374,-26.587864,2021-12-18,00:00
232,153.13417,-26.80499,2021-12-18,09:00
233,153.13411,-26.803734,2021-12-18,13:19
234,153.13448,-26.805067,2021-12-18,12:30
235,152.3531,-24.86517,2021-12-18,21:45
236,152.35147,-24.865921,2021-12-18,23:20
237,149.18857,-21.126799,2021-12-18,09:52
238,146.82173,-19.258762,2021-12-18,18:30
239,146.82074,-19.259512,2021-12-18,17:00
240,146.80644,-19.24097,2021-12-18,15:20
241,146.81499,-19.250294,2021-12-18,18:35
242,146.81499,-19.250294,2021-12-18,11:30
243,146.8201,-19.260544,2021-12-18,20:05
244,146.81738,-19.259674,2021-12-18,07:40
245,146.81738,-19.259674,2021-12-18,07:40
246,146.82034,-19.257307,2021-12-18,20:30
247,146.81679,-19.315525,2021-12-18,11:35
248,146.79091,-19.271984,2021-12-18,08:45
249,146.73935,-19.269768,2021-12-18,15:30
250,146.71162,-19.318285,2021-12-18,09:50
251,146.71162,-19.318285,2021-12-18,09:50
252,145.76013,-16.907965,2021-12-18,12:45
253,145.77196,-16.929111,2021-12-18,13:15
254,145.75974,-16.908073,2021-12-18,11:45
255,145.76602,-16.924362,2021-12-18,14:20
256,145.77357,-16.934269,2021-12-18,12:30
257,145.77333,-16.919542,2021-12-18,09:15
258,145.46547,-16.501669,2021-12-18,00:00
259,153.0308,-27.468573,2021-12-17,17:30
260,153.02513,-27.470469,2021-12-17,17:30
261,153.02394,-27.469574,2021-12-17,10:45
262,153.05434,-27.469017,2021-12-17,20:30
263,153.03986,-27.455223,2021-12-17,00:00
264,153.03444,-27.458208,2021-12-17,00:10
265,153.03444,-27.458208,2021-12-17,01:50
266,153.04369,-27.448093,2021-12-17,15:35
267,153.0441,-27.447796,2021-12-17,13:00
268,153.04025,-27.453476,2021-12-17,13:46
269,153.04025,-27.453476,2021-12-17,13:46
270,153.06555,-27.43387,2021-12-17,18:15
271,153.072,-27.385284,2021-12-17,08:00
272,152.99023,-27.423086,2021-12-17,17:25
273,152.97417,-27.411667,2021-12-17,13:36
274,153.00821,-27.502918,2021-12-17,00:00
275,152.97737,-27.602468,2021-12-17,16:05
276,152.96825,-27.624527,2021-12-17,11:30
277,152.96867,-27.626055,2021-12-17,11:30
278,153.01613,-27.53378,2021-12-17,06:45
279,153.06506,-27.590954,2021-12-17,18:45
280,153.02394,-27.577314,2021-12-17,17:00
281,153.02394,-27.577314,2021-12-17,21:30
282,153.06519,-27.559843,2021-12-17,19:20
283,153.06519,-27.559843,2021-12-17,19:20
284,153.0453,-27.66372,2021-12-17,11:50
285,153.04501,-27.665384,2021-12-17,10:20
286,153.0482,-27.662395,2021-12-17,18:30
287,153.08223,-27.562614,2021-12-17,12:30
288,153.08324,-27.56338,2021-12-17,14:00
289,153.08223,-27.562614,2021-12-17,12:35
290,153.07777,-27.551924,2021-12-17,18:30
291,153.08067,-27.562717,2021-12-17,08:30
292,153.08223,-27.562544,2021-12-17,08:45
293,153.08223,-27.562614,2021-12-17,12:30
294,153.0802,-27.562445,2021-12-17,14:00
295,153.10242,-27.502928,2021-12-17,10:20
296,153.10187,-27.50146,2021-12-17,10:35
297,153.1017,-27.503288,2021-12-17,10:30
298,153.10251,-27.501396,2021-12-17,10:45
299,153.10123,-27.504019,2021-12-17,10:25
300,153.10233,-27.504229,2021-12-17,10:50
301,153.05913,-27.451406,2021-12-17,07:36
302,153.40372,-27.500328,2021-12-17,08:50
303,153.43835,-27.398432,2021-12-17,07:15
304,152.90295,-27.676796,2021-12-17,11:00
305,151.95271,-27.562881,2021-12-17,07:15
306,152.95149,-27.100832,2021-12-17,14:00
307,152.36374,-26.587864,2021-12-17,00:00
308,153.13411,-26.803734,2021-12-17,19:05
309,153.13525,-26.805109,2021-12-17,19:33
310,146.76225,-19.298985,2021-12-17,10:40
311,146.74925,-19.323885,2021-12-17,12:00
312,146.74925,-19.323885,2021-12-17,09:00
313,146.76353,-19.299297,2021-12-17,10:00
314,146.82648,-19.251038,2021-12-17,18:00
315,146.75665,-19.32586,2021-12-17,10:05
316,146.75665,-19.32586,2021-12-17,10:05
317,146.80612,-19.239855,2021-12-17,14:45
318,146.76353,-19.299297,2021-12-17,11:00
319,146.76308,-19.299238,2021-12-17,11:00
320,146.82024,-19.260494,2021-12-17,11:35
321,146.82024,-19.260494,2021-12-17,11:35
322,146.81631,-19.26072,2021-12-17,09:35
323,146.81631,-19.26072,2021-12-17,09:35
324,145.74115,-16.911325,2021-12-17,16:20
325,151.20929,-33.86882,2021-12-17,13:26
326,151.20929,-33.86882,2021-12-17,13:26
327,145.74037,-16.911224,2021-12-17,16:25
328,145.7421,-16.900986,2021-12-17,16:15
329,144.96306,-37.81363,2021-12-17,15:45
330,145.77095,-16.920347,2021-12-17,15:20
331,145.46301,-16.480839,2021-12-17,10:00
332,145.46547,-16.501669,2021-12-17,00:00
333,145.46233,-16.479082,2021-12-17,08:45
334,145.46378,-16.482841,2021-12-17,08:45
335,145.4632,-16.481985,2021-12-17,10:30
336,145.46288,-16.481361,2021-12-17,17:00
337,153.0257,-27.469673,2021-12-16,10:10
338,153.01402,-27.465601,2021-12-16,19:30
339,153.02602,-27.47003,2021-12-16,10:45
340,153.04684,-27.466787,2021-12-16,10:15
341,153.04315,-27.469814,2021-12-16,10:25
342,153.0424,-27.45533,2021-12-16,10:05
343,153.03986,-27.455223,2021-12-16,00:00
344,153.03444,-27.458208,2021-12-16,22:40
345,153.03311,-27.457815,2021-12-16,21:05
346,153.033,-27.457079,2021-12-16,20:00
347,153.033,-27.457079,2021-12-16,20:00
348,153.04431,-27.450724,2021-12-16,15:56
349,153.04099,-27.449358,2021-12-16,08:30
350,153.04106,-27.45753,2021-12-16,10:48
351,153.03378,-27.459412,2021-12-16,23:05
352,153.04968,-27.368973,2021-12-16,11:45
353,152.9741,-27.412018,2021-12-16,08:00
354,153.01399,-27.453001,2021-12-16,10:30
355,152.99574,-27.458324,2021-12-16,11:30
356,153.00821,-27.502918,2021-12-16,00:00
357,152.9598,-27.573654,2021-12-16,12:05
358,153.02757,-27.484602,2021-12-16,12:55
359,153.01555,-27.475348,2021-12-16,10:30
360,153.03566,-27.499826,2021-12-16,13:25
361,153.03459,-27.499573,2021-12-16,07:00
362,153.0312,-27.55885,2021-12-16,09:50
363,153.02394,-27.577314,2021-12-16,14:45
364,153.08223,-27.562614,2021-12-16,12:15
365,153.08223,-27.562614,2021-12-16,12:20
366,153.0808,-27.562168,2021-12-16,12:20
367,153.08554,-27.564,2021-12-16,12:25
368,153.08554,-27.564,2021-12-16,12:25
369,153.08223,-27.562544,2021-12-16,08:45
370,153.08223,-27.562614,2021-12-16,12:15
371,153.08252,-27.562422,2021-12-16,14:00
372,153.03317,-27.382057,2021-12-16,14:00
373,153.12427,-27.595867,2021-12-16,18:30
374,152.98412,-27.719257,2021-12-16,19:30
375,153.13191,-27.628685,2021-12-16,16:00
376,153.0722,-27.670204,2021-12-16,18:30
377,153.0722,-27.670204,2021-12-16,18:30
378,153.1164,-27.678898,2021-12-16,13:20
379,153.11595,-27.680973,2021-12-16,12:05
380,153.19543,-27.522713,2021-12-16,12:00
381,153.19543,-27.522736,2021-12-16,13:00
382,153.27942,-27.585417,2021-12-16,18:20
383,153.30247,-27.612434,2021-12-16,05:30
384,153.27968,-27.58513,2021-12-16,22:15
385,153.09811,-27.471254,2021-12-16,15:55
386,153.43835,-27.398432,2021-12-16,07:20
387,153.3088,-27.861036,2021-12-16,14:25
388,151.95142,-27.56111,2021-12-16,18:30
389,151.95502,-27.556581,2021-12-16,10:00
390,151.92029,-27.553144,2021-12-16,08:00
391,151.95271,-27.562881,2021-12-16,07:15
392,152.99037,-27.228796,2021-12-16,09:00
393,153.09114,-26.657759,2021-12-16,16:40
394,153.08846,-26.654995,2021-12-16,15:10
395,149.18683,-21.143396,2021-12-16,08:25
396,149.18683,-21.143396,2021-12-16,08:25
397,149.18065,-21.17177,2021-12-16,08:00
398,146.81499,-19.250294,2021-12-16,19:25
399,146.81499,-19.250294,2021-12-16,19:25
400,146.82083,-19.25715,2021-12-16,21:25
401,146.82083,-19.25715,2021-12-16,21:25
402,146.81607,-19.260342,2021-12-16,09:30
403,146.81535,-19.2493,2021-12-16,14:15
404,146.81535,-19.2493,2021-12-16,14:15
405,139.49533,-20.725153,2021-12-16,12:55
406,139.49123,-20.72585,2021-12-16,11:40
407,139.49435,-20.72493,2021-12-16,17:25
408,139.49167,-20.667826,2021-12-16,08:35
409,146.01387,-17.525272,2021-12-16,07:50
410,153.02603,-27.470453,2021-12-16,09:45
411,153.02603,-27.470453,2021-12-16,09:45
412,145.76138,-16.92777,2021-12-16,09:15
413,145.69626,-16.943144,2021-12-16,13:00
414,145.7554,-16.873123,2021-12-16,12:15
415,145.46547,-16.501669,2021-12-16,14:35
416,145.46289,-16.48202,2021-12-16,15:50
417,145.46744,-16.48812,2021-12-16,18:45
418,145.46286,-16.482086,2021-12-16,15:30
419,145.69426,-16.820213,2021-12-16,12:00
420,145.69194,-16.790556,2021-12-16,13:00
421,153.02446,-27.470346,2021-12-15,11:35
422,153.02777,-27.46853,2021-12-15,13:45
423,153.02414,-27.470222,2021-12-15,10:20
424,153.02576,-27.470345,2021-12-15,10:10
425,153.0284,-27.470926,2021-12-15,12:55
426,153.0257,-27.469673,2021-12-15,11:49
427,153.02426,-27.470201,2021-12-15,11:05
428,153.02531,-27.470024,2021-12-15,11:10
429,153.0259,-27.470022,2021-12-15,11:15
430,153.02487,-27.469418,2021-12-15,19:30
431,153.03616,-27.462435,2021-12-15,20:00
432,153.0278,-27.468506,2021-12-15,13:25
433,153.04987,-27.456419,2021-12-15,10:00
434,153.02847,-27.446978,2021-12-15,12:40
435,153.03986,-27.455223,2021-12-15,00:00
436,153.07373,-27.437868,2021-12-15,08:00
437,153.02328,-27.390394,2021-12-15,12:40
438,153.02269,-27.389664,2021-12-15,07:30
439,152.97122,-27.350142,2021-12-15,10:30
440,152.99675,-27.394297,2021-12-15,16:50
441,152.99306,-27.394196,2021-12-15,08:15
442,152.9741,-27.412018,2021-12-15,08:00
443,152.96054,-27.39723,2021-12-15,16:21
444,152.98248,-27.575178,2021-12-15,14:45
445,153.02403,-27.48247,2021-12-15,09:50
446,153.02315,-27.479269,2021-12-15,13:00
447,153.03459,-27.499573,2021-12-15,07:00
448,153.03683,-27.487513,2021-12-15,18:15
449,153.03546,-27.487265,2021-12-15,16:50
450,153.03532,-27.48688,2021-12-15,16:45
451,153.06316,-27.571274,2021-12-15,23:40
452,153.06316,-27.571274,2021-12-15,23:40
453,153.04433,-27.663565,2021-12-15,11:50
454,153.0635,-27.66339,2021-12-15,10:05
455,153.04326,-27.660639,2021-12-15,17:50
456,153.04414,-27.498156,2021-12-15,12:20
457,153.05597,-27.515146,2021-12-15,16:00
458,153.07974,-27.53663,2021-12-15,12:40
459,153.08223,-27.562614,2021-12-15,15:30
460,153.08438,-27.563742,2021-12-15,15:30
461,153.09244,-27.546066,2021-12-15,14:40
462,153.07974,-27.53663,2021-12-15,12:40
463,153.17184,-27.658512,2021-12-15,11:15
464,153.17116,-27.657162,2021-12-15,10:55
465,153.10242,-27.502928,2021-12-15,17:10
466,153.10231,-27.503065,2021-12-15,17:00
467,153.1017,-27.503288,2021-12-15,17:15
468,153.21913,-27.5229,2021-12-15,18:05
469,153.07848,-27.465942,2021-12-15,16:30
470,153.44586,-27.395048,2021-12-15,10:00
471,153.53587,-27.427576,2021-12-15,14:45
472,153.43835,-27.398432,2021-12-15,07:10
473,153.35437,-28.04973,2021-12-15,07:00
474,153.41544,-27.967756,2021-12-15,17:35
475,153.41551,-27.96859,2021-12-15,17:35
476,153.42802,-28.036402,2021-12-15,12:40
477,153.42741,-28.037066,2021-12-15,12:40
478,153.42648,-28.037281,2021-12-15,13:00
479,153.5081,-28.165842,2021-12-15,09:30
480,151.95566,-27.563116,2021-12-15,12:00
481,151.95566,-27.563116,2021-12-15,12:00
482,153.00067,-27.223436,2021-12-15,04:30
483,152.32489,-24.889874,2021-12-15,09:00
484,149.17882,-21.139496,2021-12-15,19:30
485,149.18605,-21.14193,2021-12-15,07:40
486,149.17886,-21.140566,2021-12-15,19:15
487,145.66873,-16.764853,2021-12-15,19:25
488,144.96306,-37.81363,2021-12-15,09:20
